FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES
2311,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,68,67,M3,95,12,84376,50,76705
2311,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,68,67,M3,12,22,10845,17,9859
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,480,0,583,66,480
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,90,0,109,43,90
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,60,0,72,95,60
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,270,0,328,31,270
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,1204,20,1519,81,1204
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,64,0,77,82,64
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,32,0,36,65,36
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,9,0,10,31,10
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,9,0,10,31,10
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,16,0,18,33,18
2311,3,23,DEU,3,BOG,5,7,827,1,198,1,8,2,5,11,U,1380,0,236,0,188
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,28995,0,3782,0,3406
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,50,0,38,18,33
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,245,0,187,8,161
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,0,15,27,13
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,0,15,27,13
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,0,15,27,13
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,0,15,27,13
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,0,15,27,13
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,100,0,76,37,66
2311,3,23,DEU,3,BOG,8,3,23,1,198,1,8,2,8,33,KG,1088,10,1262,0,1088
2311,3,23,DEU,3,BOG,8,3,23,1,104,2,8,2,11,11,U,1,0,40,0,39
2311,3,23,DEU,3,BOG,11,0,580,1,104,2,8,2,8,33,KG,27,0,27,0,27
2311,3,23,DEU,3,BOG,11,0,580,1,104,2,8,2,8,33,KG,9,0,9,0,9
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,11,11,U,1300,0,52,14,48
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,11,11,U,38160,0,1375,85,1263
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,11,11,U,62,0,5273,96,3447
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,11,11,U,5600,0,195,71,179
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,11,11,U,12480,0,483,28,442
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,11,11,U,13,0,140,0,119
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,11,11,U,2560,0,99,0,96
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,11,11,U,50,0,310,0,206
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,44787,0,1104,0,943
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,1800,0,68,33,56
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,10080,0,381,66,319
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,16,50,20,64,16
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,37,50,46,92,37
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,20,0,25,2,20
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,82,0,102,60,82
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,24,0,30,3,24
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,119,50,149,53,119
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,1198,40,1499,57,1198
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,13,0,16,26,13
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,7,50,9,38,7
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,2,0,0,82,0
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,1,0,7,90,5
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,1,0,7,90,5
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,986,0,253,25,236
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,9,0,0,80,0
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,1,0,0,11,0
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,2,0,15,80,11
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,6,0,47,40,33
2311,3,23,DEU,3,BOG,11,3,23,1,199,1,6,1,8,11,U,1,0,80,90,56
2311,3,23,DEU,3,BOG,11,3,23,1,199,1,6,1,11,11,U,5,0,390,7,270
2311,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,11,11,U,19660,0,615,0,492
2311,3,23,DEU,3,BOG,11,3,23,1,104,2,6,1,11,11,U,3,0,370,0,284
2311,3,23,DEU,3,BOG,11,3,23,1,104,2,6,2,11,11,U,2,0,139,0,108
2311,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,11,11,U,4,0,96,0,69
2311,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,5,11,U,1,0,319,0,319
2311,3,23,DEU,3,BOG,11,3,23,1,198,2,6,1,11,11,U,1,0,89,0,55
2311,3,23,DEU,3,BOG,11,3,23,1,198,2,6,2,11,11,U,38,0,1433,0,1246
2311,3,23,DEU,3,BOG,11,3,23,1,198,2,8,2,11,11,U,1,0,1,10,1
2311,3,23,DEU,3,BOG,11,3,23,1,198,2,8,2,11,11,U,1,0,33,0,10
2311,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,11,11,U,21600,0,725,70,667
2311,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,11,11,U,58200,0,2323,29,2115
2311,3,23,DEU,3,BOG,11,3,573,1,198,1,8,2,11,33,KG,560,0,665,0,560
2311,3,23,DEU,3,BOG,11,3,573,1,198,1,8,2,11,33,KG,809,64,836,0,809
2311,3,23,DEU,3,BOG,11,3,573,4,201,2,8,2,11,11,U,3,0,86,0,86
2311,3,23,DEU,3,BOG,11,3,573,4,201,2,8,2,11,11,U,4,0,22,51,18
2311,3,23,DEU,3,BOG,11,3,573,4,201,2,8,2,11,11,U,5,0,30,48,24
2311,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,11,11,U,6000,0,229,36,214
2311,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,11,11,U,14400,0,561,63,524
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,33,KG,0,17,0,18,0
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,1,0,6,76,6
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,1,0,15,89,14
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,33,KG,4,98,5,38,4
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,16,0,12,28,11
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,33,KG,7,72,8,34,7
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,33,KG,3,12,3,31,3
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,33,KG,0,80,0,84,0
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,33,KG,1,60,1,72,1
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,2,0,0,66,0
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,2,0,5,62,5
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,2,0,24,44,22
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,1,0,1,68,1
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,1,0,4,86,4
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,1,0,54,7,50
2311,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,11,11,U,20,0,6,48,6
